岿,老,积魂樊,剧前,阂樊
1岿,2老,192075,188400,3675
1岿,3老,194202,190800,3402
1岿,4老,153837,150000,3837
1岿,6老,197028,195600,1428
1岿,7老,9480,8400,1080
1岿,9老,171192,168000,3192
1岿,10老,51774,50200,1574
1岿,10老,151106,147500,3606
1岿,11老,155616,140500,15116
1岿,13老,156258,132000,24258
1岿,14老,186546,160100,26446
1岿,15老,204402,193100,11302
1岿,18老,70038,68400,1638
1岿,20老,196398,192000,4398
1岿,21老,189924,183600,6324
1岿,22老,184438,180000,4438
1岿,23老,194434,186000,8434
1岿,24老,188403,180000,8403
1岿,25老,160134,154000,6134
1岿,31老,189786,182000,7786
2岿,1老,99186,96000,3186
2岿,3老,195814,192000,3814
2岿,4老,194478,186000,8478
2岿,5老,87678,84000,3678
2岿,5老,106676,103700,2976
2岿,6老,201768,196300,5468
2岿,7老,182400,176300,6100
2岿,10老,193200,189700,3500
2岿,11老,127656,126000,1656
2岿,12老,180468,174000,6468
2岿,13老,180180,176100,4080
2岿,14老,191172,186300,4872
2岿,15老,154830,151200,3630
2岿,17老,193614,189300,4314
2岿,18老,201066,196100,4966
2岿,19老,193464,188600,4864
2岿,20老,39280,38400,880
2岿,20老,154400,150000,4400
2岿,21老,194154,190000,4154
2岿,22老,160488,158000,2488
2岿,24老,205626,200400,5226
2岿,25老,205908,198000,7908
2岿,25老,197472,192100,5372
2岿,26老,54336,54000,336
2岿,26老,49398,46700,2698
2岿,26老,148082,144000,4082
3岿,4老,193230,186000,7230
3岿,5老,198162,192000,6162
3岿,6老,129828,126000,3828
3岿,6老,55380,54000,1380
3岿,7老,190970,184700,6270
3岿,8老,157644,153300,4344
3岿,10老,190188,184000,6188
3岿,11老,195750,192000,3750
3岿,12老,196596,192000,4596
3岿,13老,197784,195200,2584
3岿,14老,205458,204750,708
3岿,14老,204408,201810,2598
3岿,14老,190302,187100,3202
3岿,15老,169692,168780,912
3岿,15老,167892,167370,522
3岿,15老,159990,157700,2290
3岿,17老,211080,209970,1110
3岿,17老,211272,209580,1692
3岿,17老,85650,84000,1650
3岿,18老,69036,68520,516
3岿,18老,73080,72510,570
3岿,18老,132126,131640,486
3岿,18老,133554,132600,954
3岿,18老,170292,168000,2292
3岿,19老,194016,193290,726
3岿,19老,15180,15000,180
3岿,19老,210024,207600,2424
3岿,19老,200622,198000,2622
3岿,20老,212442,211350,1092
3岿,20老,215154,213870,1284
3岿,20老,170220,168000,2220
3岿,20老,18525,18000,525
3岿,21老,211272,210570,702
3岿,21老,208614,207330,1284
3岿,22老,100332,99780,552
3岿,22老,74124,73680,444
3岿,27老,24492,24000,492
3岿,28老,195300,191000,4300
3岿,29老,114342,109000,5342
3岿,31老,186920,180000,6920
4岿,1老,19668,18000,1668
4岿,1老,150144,142700,7444
4岿,2老,29976,29700,276
4岿,2老,88284,84000,4284
4岿,2老,133716,81200,52516
4岿,3老,171876,149800,22076
4岿,4老,30024,28600,1424
4岿,4老,131522,120000,11522
4岿,7老,165324,142300,23024
4岿,8老,119798,107200,12598
4岿,9老,188394,173300,15094
4岿,10老,191562,183200,8362
4岿,11老,185712,180000,5712
4岿,14老,201732,200500,1232
4岿,14老,190068,181600,8468
4岿,15老,217002,216000,1002
4岿,15老,214896,212300,2596
4岿,15老,120046,117000,3046
4岿,16老,214080,212600,1480
4岿,16老,214878,213700,1178
4岿,16老,197352,195000,2352
4岿,17老,211500,211500,
4岿,17老,207108,205700,1408
4岿,17老,115788,114000,1788
4岿,17老,56796,49300,7496
