岿,老,积魂樊,剧前,阂樊
3岿,10老,181462,180000,1462
3岿,11老,18200,18000,200
3岿,12老,92912,91900,1012
3岿,13老,133448,130100,3348
3岿,14老,96112,96000,112
3岿,17老,140152,137100,3052
3岿,18老,161898,156900,4998
3岿,19老,236112,234000,2112
3岿,24老,18628,18000,628
3岿,25老,135016,132000,3016
3岿,26老,234272,231100,3172
3岿,27老,121128,116900,4228
4岿,22老,57968,57600,368
4岿,23老,15576,15400,176
4岿,25老,93528,92900,628
4岿,29老,248792,248100,692
4岿,30老,96720,96000,720
5岿,2老,253144,252000,1144
5岿,8老,90360,90000,360
5岿,9老,154032,150000,4032
5岿,29老,99472,98600,872
5岿,30老,245040,241500,3540
5岿,31老,199976,199900,76
6岿,2老,240344,237600,2744
6岿,4老,250568,248400,2168
6岿,5老,252360,250800,1560
6岿,6老,198840,196900,1940
6岿,7老,117056,116300,756
6岿,7老,87102,86400,702
6岿,9老,257152,255400,1752
6岿,10老,247952,246000,1952
6岿,11老,251760,247600,4160
6岿,12老,254072,252700,1372
6岿,13老,250160,249700,460
6岿,16老,250088,246000,4088
6岿,17老,243216,242800,416
6岿,18老,61382,60900,482
6岿,18老,187152,186000,1152
6岿,19老,252184,252000,184
6岿,23老,252160,248800,3360
6岿,24老,251256,249200,2056
6岿,25老,252584,249800,2784
6岿,26老,251096,248200,2896
6岿,27老,175648,173600,2048
6岿,27老,74924,74700,224
6岿,28老,196040,192700,3340
6岿,30老,250328,248600,1728
7岿,1老,247152,246000,1152
7岿,2老,251112,246000,5112
7岿,3老,131800,131200,600
8岿,11老,219726,218400,1326
8岿,12老,251112,249600,1512
8岿,13老,114252,114000,252
10岿,24老,84440,84000,440
10岿,27老,255942,252000,3942
10岿,28老,248908,246000,2908
10岿,29老,254152,252000,2152
10岿,30老,253616,252000,1616
10岿,31老,182904,180000,2904
